Index,Year,Month,Rain,Region
ABE,2022,1,675.2,UK
ABE,2022,2,180.6,UK
ABE,2022,3,115.4,UK
ABE,2022,4,68,UK
ABE,2022,5,134.2,UK
ABE,2022,6,112.8,UK
ABE,2022,7,19.2,UK
ABE,2022,8,64.8,UK
ABE,2022,9,62.2,UK
ABE,2022,10,162.4,UK
ABE,2022,11,328.4,UK
ABE,2022,12,224.4,UK
ABE,2023,1,132.6,UK
ABE,2023,2,18.2,UK
ABE,2023,3,322.8,UK
ABE,2023,4,16.2,UK
ABE,2023,5,76.8,UK
ABE,2023,6,35.2,UK
ABE,2023,7,14.2,UK
ABE,2023,8,290.2,UK
ABE,2023,9,231,UK
ABE,2023,10,158.6,UK
ABE,2023,11,334,UK
ABE,2023,12,171.2,UK
ABE,2024,1,153.8,UK
ABE,2024,2,392,UK
ABE,2024,3,220,UK
ABE,2024,4,171.4,UK
ABE,2024,5,121,UK
ABE,2024,6,52.8,UK
ABE,2024,7,141.6,UK
ABE,2024,8,49.2,UK
ABE,2024,9,6,UK
ABE,2024,10,266,UK
ALD,2021,1,97.3,UK
ALD,2021,2,111,UK
ALD,2021,3,24.8,UK
ALD,2021,4,2.4,UK
ALD,2021,5,65.8,UK
ALD,2021,6,0,UK
ALD,2021,7,112.9,UK
ALD,2021,8,32.6,UK
ALD,2021,9,29.2,UK
ALD,2021,10,83.2,UK
ALD,2021,11,25.2,UK
ALD,2021,12,104.2,UK
ALD,2022,1,22.1,UK
ALD,2022,2,49,UK
ALD,2022,3,40.6,UK
ALD,2022,4,26,UK
ALD,2022,5,71.3,UK
ALD,2022,6,61.6,UK
ALD,2022,7,34.8,UK
ALD,2022,8,361,UK
ALD,2022,9,230.6,UK
ALD,2022,10,92.1,UK
ALD,2022,11,238.4,UK
ALD,2022,12,93.6,UK
ALD,2023,1,116.4,UK
ALD,2023,2,4.4,UK
ALD,2023,3,182.8,UK
ALD,2023,4,101.3,UK
ALD,2023,5,277.2,UK
ALD,2023,6,44,UK
ALD,2023,7,43.2,UK
ALD,2023,8,264.7,UK
ALD,2023,9,58.8,UK
ALD,2023,10,271.2,UK
ALD,2023,11,163.6,UK
ALD,2023,12,153.4,UK
EAC,2022,1,15.4,UK
EAC,2022,2,70,UK
EAC,2022,3,50.4,UK
EAC,2022,4,19.8,UK
EAC,2022,5,61.6,UK
EAC,2022,6,48.2,UK
EAC,2022,7,0,UK
EAC,2022,8,18,UK
EAC,2022,9,82.8,UK
EAC,2022,10,99.6,UK
EAC,2022,11,183.8,UK
EAC,2022,12,110.6,UK
EAC,2023,1,114.2,UK
EAC,2023,2,12.2,UK
EAC,2023,3,114.3,UK
EAC,2023,4,65.6,UK
EAC,2023,5,51.4,UK
EAC,2023,6,23.2,UK
EAC,2023,7,93.4,UK
EAC,2023,8,72.2,UK
EAC,2023,9,92.8,UK
EAC,2023,10,194.4,UK
EAC,2023,11,141,UK
EAC,2023,12,139,UK
EAC,2024,1,85.4,UK
EAC,2024,2,146.6,UK
EAC,2024,3,113,UK
EAC,2024,4,71.2,UK
EAC,2024,5,84.6,UK
EAC,2024,6,11.4,UK
EAC,2024,7,70.4,UK
EAC,2024,8,49.4,UK
EAC,2024,9,164.6,UK
EAC,2024,10,106.6,UK
FRA,2022,1,0,France
FRA,2022,2,0.02,France
FRA,2022,3,0.31,France
FRA,2022,4,0.05,France
FRA,2022,5,0.03,France
FRA,2022,6,0.03,France
FRA,2022,7,0.01,France
FRA,2022,8,0.2,France
FRA,2022,9,0.7,France
FRA,2022,10,0.01,France
FRA,2022,11,0.2,France
FRA,2022,12,0.18,France
FRA,2023,1,0.05,France
FRA,2023,2,0.08,France
FRA,2023,3,0.07,France
FRA,2023,4,0.06,France
FRA,2023,5,0.18,France
FRA,2023,6,0.1,France
FRA,2023,7,0.01,France
FRA,2023,8,0.04,France
FRA,2023,9,0.06,France
FRA,2023,10,0.11,France
FRA,2023,11,0.03,France
FRA,2023,12,0.05,France
FRA,2024,1,0.17,France
FRA,2024,2,0.13,France
FRA,2024,3,0.42,France
FRA,2024,4,0.07,France
FRA,2024,5,0.28,France
FRA,2024,6,0.06,France
FRA,2024,7,0.03,France
FRA,2024,8,0.05,France
FRA,2024,9,0.16,France
FRA,2024,10,0.22,France
FRA,2024,11,0.23,France
FRA,2024,12,0.06,France
NOR,2022,1,40.6,UK
NOR,2022,2,69.9,UK
NOR,2022,3,87.4,UK
NOR,2022,4,12,UK
NOR,2022,5,50.8,UK
NOR,2022,6,88.8,UK
NOR,2022,7,4.6,UK
NOR,2022,8,66.4,UK
NOR,2022,9,23.2,UK
NOR,2022,10,82.4,UK
NOR,2022,11,36,UK
NOR,2022,12,62.1,UK
NOR,2023,1,55.6,UK
NOR,2023,2,49.4,UK
NOR,2023,3,122.4,UK
NOR,2023,4,98.1,UK
NOR,2023,5,45.1,UK
NOR,2023,6,29.6,UK
NOR,2023,7,78.4,UK
NOR,2023,8,185.7,UK
NOR,2023,9,190.4,UK
NOR,2023,10,290.4,UK
NOR,2023,11,156.4,UK
NOR,2023,12,192.6,UK
NOR,2024,1,125.3,UK
NOR,2024,2,96.8,UK
NOR,2024,3,30.8,UK
NOR,2024,4,85,UK
NOR,2024,5,15.2,UK
NOR,2024,6,138.4,UK
NOR,2024,7,131.8,UK
NOR,2024,8,32.4,UK
NOR,2024,9,37.8,UK
NOR,2024,10,62,UK
SUS,2022,1,19.8,UK
SUS,2022,2,42.7,UK
SUS,2022,3,16,UK
SUS,2022,4,19.8,UK
SUS,2022,5,47.6,UK
SUS,2022,6,31.6,UK
