Index,Year,Month,Temp
ABE,2022,1,5.787121212
ABE,2022,2,7.723275862
ABE,2022,3,8.262121212
ABE,2022,4,9.761290323
ABE,2022,5,13.01111111
ABE,2022,6,15.44672131
ABE,2022,7,18.56076923
ABE,2022,8,19.52839782
ABE,2022,9,15.175
ABE,2022,10,13.93145161
ABE,2022,11,10.35583333
ABE,2022,12,5.069354839
ABE,2023,1,5.966129032
ABE,2023,2,6.588392857
ABE,2023,3,7.498387097
ABE,2023,4,9.158333333
ABE,2023,5,13.39193548
ABE,2023,6,17.53114754
ABE,2023,7,16.50403226
ABE,2023,8,16.49758065
ABE,2023,9,17.25583333
ABE,2023,10,13.24274194
ABE,2023,11,9.325
ABE,2023,12,8.483333333
ABE,2024,1,5.613709677
ABE,2024,2,8.30862069
ABE,2024,3,8.191129032
ABE,2024,4,10.02666667
ABE,2024,5,13.64112903
ABE,2024,6,14.7425
ABE,2024,7,16.36612903
ABE,2024,8,17.18225806
ABE,2024,9,14.41
ABE,2024,10,12.34516129
EAC,2022,1,4.85
EAC,2022,2,7.25
EAC,2022,3,8.1
EAC,2022,4,9.5
EAC,2022,5,13.35
EAC,2022,6,15.5
EAC,2022,7,18.5
EAC,2022,8,19.2
EAC,2022,9,14.85
EAC,2022,10,13.8
EAC,2022,11,10.05
EAC,2022,12,4.2
EAC,2023,1,5.15
EAC,2023,2,5.95
EAC,2023,3,7.9
EAC,2023,4,8.85
EAC,2023,5,13.25
EAC,2023,6,17.9
EAC,2023,7,16.95
EAC,2023,8,16.75
EAC,2023,9,17.25
EAC,2023,10,13.2
EAC,2023,11,8.4
EAC,2023,12,8.35
EAC,2024,1,5
EAC,2024,2,8.5
EAC,2024,3,8.4
EAC,2024,4,10.25
EAC,2024,5,13.45
EAC,2024,6,14.65
EAC,2024,7,16.9
EAC,2024,8,17.75
EAC,2024,9,14.65
EAC,2024,10,12.45
FRA,2022,1,6.86
FRA,2022,2,10.82
FRA,2022,3,10.35
FRA,2022,4,13.86
FRA,2022,5,19.67
FRA,2022,6,24.52
FRA,2022,7,26.78
FRA,2022,8,26.09
FRA,2022,9,21.01
FRA,2022,10,19.1
FRA,2022,11,13.34
FRA,2022,12,9.2
FRA,2023,1,8.23
FRA,2023,2,8.09
FRA,2023,3,11.88
FRA,2023,4,14.53
FRA,2023,5,18.74
FRA,2023,6,23.65
FRA,2023,7,25.82
FRA,2023,8,24.62
FRA,2023,9,22.01
FRA,2023,10,18.82
FRA,2023,11,12.34
FRA,2023,12,9.69
FRA,2024,1,8.77
FRA,2024,2,10.92
FRA,2024,3,12.5
FRA,2024,4,14.38
FRA,2024,5,17.2
FRA,2024,6,21.39
FRA,2024,7,25.1
FRA,2024,8,26.11
FRA,2024,9,20.17
FRA,2024,10,17.89
FRA,2024,11,12.65
FRA,2024,12,8.57
NOR,2022,1,5.62
NOR,2022,2,6.84
NOR,2022,3,7.56
NOR,2022,4,9.42
NOR,2022,5,13.53
NOR,2022,6,15.95
NOR,2022,7,18.84
NOR,2022,8,19.34
NOR,2022,9,15.82
NOR,2022,10,13.56
NOR,2022,11,9.68
NOR,2022,12,5.47
NOR,2023,1,5.65
NOR,2023,2,6.94
NOR,2023,3,7.24
NOR,2023,4,8.55
NOR,2023,5,11.69
NOR,2023,6,16.3
NOR,2023,7,17.28
NOR,2023,8,17.41
NOR,2023,9,17.39
NOR,2023,10,13.37
NOR,2023,11,8.35
NOR,2023,12,7.72
NOR,2024,1,5.51
NOR,2024,2,8.34
NOR,2024,3,8.43
NOR,2024,4,10.11
NOR,2024,5,13.03
NOR,2024,6,14.47
NOR,2024,7,16.83
NOR,2024,8,18.54
NOR,2024,9,15.3
NOR,2024,10,12.43
NOR,2024,11,0.1
NOR,2024,12,3.46
SUS,2022,1,7.05
SUS,2022,2,8.45
SUS,2022,3,9.2
SUS,2022,4,10.6
SUS,2022,5,14.35
SUS,2022,6,16.45
SUS,2022,7,20.15
SUS,2022,8,20.45
SUS,2022,9,16.7
SUS,2022,10,15.55
SUS,2022,11,11.8
SUS,2022,12,6.2
SUS,2023,1,6.85
SUS,2023,2,7.35
SUS,2023,3,7.85
SUS,2023,4,10.05
SUS,2023,5,13.35
SUS,2023,6,18.3
SUS,2023,7,17.9
SUS,2023,8,18.15
SUS,2023,9,19.05
SUS,2023,10,14.85
SUS,2023,11,9.7
SUS,2023,12,9.1
SUS,2024,1,5.9
SUS,2024,2,9.1
SUS,2024,3,9.2
SUS,2024,4,10.5
SUS,2024,5,14
SUS,2024,6,15.15
SUS,2024,7,17.6
SUS,2024,8,18.8
SUS,2024,9,16.05
SUS,2024,10,13.75
SUS,2024,11,9.7
SUS,2024,12,8.1
ESS,2022,1,5.034558824
ESS,2022,2,7.65877193
ESS,2022,3,7.546031746
ESS,2022,4,9.303076923
ESS,2022,5,13.59262295
ESS,2022,6,16.21166667
ESS,2022,7,19.57142857
ESS,2022,8,19.98174603
ESS,2022,9,15.55
ESS,2022,10,14.16935484
ESS,2022,11,10.29583333
ESS,2022,12,4.759677419
ESS,2023,1,5.75483871
ESS,2023,2,6.208035714
ESS,2023,3,7.343548387
ESS,2023,4,8.995
ESS,2023,5,12.29435484
ESS,2023,6,17.0325
ESS,2023,7,18.06209677
ESS,2023,8,17.75241935
ESS,2023,9,18.13416667
ESS,2023,10,13.79193548
ESS,2023,11,8.354166667
ESS,2023,12,7.82421875
ESS,2024,1,5.31031746
ESS,2024,2,8.799137931
ESS,2024,3,8.843650794
ESS,2024,4,10.55333333
ESS,2024,5,13.73467742
ESS,2024,6,15.39166667
ESS,2024,7,17.76290323
ESS,2024,8,19.21854839
ESS,2024,9,15.40916667
ESS,2024,10,12.64516129
LOW,2021,1,3.45
LOW,2021,2,5.1
LOW,2021,3,6.9
LOW,2021,4,6.05
LOW,2021,5,10.2
LOW,2021,6,15.9
LOW,2021,7,17.45
LOW,2021,8,16.8
LOW,2021,9,17.05
LOW,2021,10,12.25
LOW,2021,11,8.3
LOW,2021,12,6.15
LOW,2022,1,5.05
LOW,2022,2,6.9
LOW,2022,3,7.8
LOW,2022,4,9
LOW,2022,5,13.25
LOW,2022,6,15.6
LOW,2022,7,19.05
LOW,2022,8,19.85
LOW,2022,9,15.6
LOW,2022,10,13.85
LOW,2022,11,9.4
LOW,2022,12,4.45
LOW,2023,1,5.3
LOW,2023,2,6.7
LOW,2023,3,7.15
LOW,2023,4,8.45
LOW,2023,5,11.55
LOW,2023,6,16.9
LOW,2023,7,17.8
LOW,2023,8,17.8
LOW,2023,9,17.9
LOW,2023,10,13.7
LOW,2023,11,7.8
LOW,2023,12,7.5
SOM,2022,1,5.248529412
SOM,2022,2,7.742857143
SOM,2022,3,8.358064516
SOM,2022,4,9.461826087
SOM,2022,5,13.776
SOM,2022,6,15.09989247
SOM,2022,7,18.20667989
SOM,2022,8,19.61427126
SOM,2022,9,15.27427536
SOM,2022,10,13.63047619
SOM,2022,11,10.12166667
SOM,2022,12,4.40625
SOM,2023,1,5.9875
SOM,2023,2,6.608928571
SOM,2023,3,7.761305147
SOM,2023,4,9.699923077
SOM,2023,5,13.27666667
SOM,2023,6,17.81752137
SOM,2023,7,16.52678571
SOM,2023,8,17.13626045
SOM,2023,9,17.22333333
SOM,2023,10,13.43392857
SOM,2023,11,9.366229839
SOM,2023,12,8.159677419
SOM,2024,1,5.3
SOM,2024,2,8.984404762
SOM,2024,3,8.936119257
SOM,2024,4,10.56457143
SOM,2024,5,13.759375
SOM,2024,6,14.38896104
SOM,2024,7,16.60327957
SOM,2024,8,18.05322581
SOM,2024,9,14.75333333
SOM,2024,10,12.5
HAN,2022,1,5.614492754
HAN,2022,2,7.856140351
HAN,2022,3,8.646031746
HAN,2022,4,9.809677419
HAN,2022,5,13.75967742
HAN,2022,6,16.17416667
HAN,2022,7,19.59758065
HAN,2022,8,19.77016129
HAN,2022,9,15.40166667
HAN,2022,10,14.53809524
HAN,2022,11,10.9
HAN,2022,12,4.999137931
HAN,2023,1,5.925
HAN,2023,2,6.2375
HAN,2023,3,7.628571429
HAN,2023,4,9.400833333
HAN,2023,5,13.50725806
HAN,2023,6,18.035
HAN,2023,7,17.58870968
HAN,2023,8,17.26290323
HAN,2023,9,18.20166667
HAN,2023,10,13.86935484
HAN,2023,11,8.991666667
HAN,2023,12,8.718548387
HAN,2024,1,5.450806452
HAN,2024,2,8.797413793
HAN,2024,3,8.763709677
HAN,2024,4,10.43166667
HAN,2024,5,14.01935484
HAN,2024,6,15.61
HAN,2024,7,17.46612903
HAN,2024,8,18.44112903
HAN,2024,9,15.34166667
HAN,2024,10,13.05806452
FLE,2023,1,6.694444444
FLE,2023,2,7.363888889
FLE,2023,3,7.832857143
FLE,2023,4,9.616129032
FLE,2023,5,13.45833333
FLE,2023,6,17.56666667
FLE,2023,7,16.65645161
FLE,2023,8,16.94516129
FLE,2023,9,17.52333333
FLE,2023,10,14.2
FLE,2023,11,9.825
FLE,2023,12,8.812903226
FLE,2024,1,5.999747984
FLE,2024,2,8.885
FLE,2024,3,8.784569892
FLE,2024,4,10.48333333
FLE,2024,5,13.4516129
FLE,2024,6,15.28
FLE,2024,7,16.91451613
FLE,2024,8,18.040625
FLE,2024,9,15.43666667
FLE,2024,10,13.66818182
FLE,2024,11,9.929032258
FLE,2024,12,8.26969697
FLE,2025,1,6.012121212
FLE,2025,2,6.764470443
FLE,2025,3,8.506451613
FLE,2025,4,11.49935484
FLE,2025,5,14.47419355
FLE,2025,6,16.91166667
FLE,2025,7,19.08387097
FLE,2025,8,18.27931034
FLE,2025,9,15.41
FLE,2025,10,13.37142857
NCO,2022,1,4.565151515
NCO,2022,2,6.442622951
NCO,2022,3,7.182539683
NCO,2022,4,8.986885246
NCO,2022,5,13.12575758
NCO,2022,6,15.29491525
NCO,2022,7,18.02698413
NCO,2022,8,18.06451613
NCO,2022,9,14.71967213
NCO,2022,10,12.70820896
NCO,2022,11,8.816964286
NCO,2022,12,3.429
NCO,2023,1,4.672222222
NCO,2023,2,6.701785714
NCO,2023,3,7.021774194
NCO,2023,4,8.215833333
NCO,2023,5,11.73225806
NCO,2023,6,15.63666667
NCO,2023,7,16.36532258
NCO,2023,8,16.52016129
NCO,2023,9,16.085
NCO,2023,10,12.35564516
NCO,2023,11,7.571666667
NCO,2023,12,7.162903226
NCO,2024,1,5.006451613
NCO,2024,2,7.913793103
NCO,2024,3,8.152419355
NCO,2024,4,9.510833333
NCO,2024,5,12.83387097
NCO,2024,6,14.05083333
NCO,2024,7,16.28306452
NCO,2024,8,17.4
NCO,2024,9,14.00083333
NCO,2024,10,11.58387097
NCO,2024,11,7.618333333
NCO,2024,12,7.116935484
SHE,2022,1,5.29
SHE,2022,2,7.453571429
SHE,2022,3,7.887931034
SHE,2022,4,9.12
SHE,2022,5,13.98333333
SHE,2022,6,15.655
SHE,2022,7,19.37741935
SHE,2022,8,19.56833333
SHE,2022,9,15.69390394
SHE,2022,10,14.03125
SHE,2022,11,9.89
SHE,2022,12,4.90862069
SHE,2023,1,5.748336694
SHE,2023,2,6.805747126
SHE,2023,3,7.203225806
SHE,2023,4,8.586666667
SHE,2023,5,12.14193548
SHE,2023,6,16.96
SHE,2023,7,17.85833333
SHE,2023,8,17.91904762
SHE,2023,9,18.08833333
SHE,2023,10,14.18870968
SHE,2023,11,8.198333333
SHE,2023,12,7.667741935
SHE,2024,1,4.958064516
SHE,2024,2,8.705
SHE,2024,3,8.827419355
SHE,2024,4,10.34666667
SHE,2024,5,13.77878788
SHE,2024,6,14.93833333
SHE,2024,7,17.51774194
SHE,2024,8,19.29193548
SHE,2024,9,15.31612903
SHE,2024,10,12.39655172
ALD,2021,1,3.121969697
ALD,2021,2,4.475396825
ALD,2021,3,6.723076923
ALD,2021,4,6.290833333
ALD,2021,5,10.40714286
ALD,2021,6,16.205
ALD,2021,7,17.39032258
ALD,2021,8,16.47903226
ALD,2021,9,16.40952381
ALD,2021,10,12.0515873
ALD,2021,11,7.450793651
ALD,2021,12,6.34
ALD,2022,1,4.761904762
ALD,2022,2,6.85809322
ALD,2022,3,7.387096774
ALD,2022,4,9.0225
ALD,2022,5,13.03790323
ALD,2022,6,15.73
ALD,2022,7,19.09032258
ALD,2022,8,19.76129032
ALD,2022,9,14.9875
ALD,2022,10,13.45967742
ALD,2022,11,9.385833333
ALD,2022,12,4.137096774
ALD,2023,1,5.02983871
ALD,2023,2,6.00625
ALD,2023,3,6.788095238
ALD,2023,4,8.355
ALD,2023,5,11.72822581
ALD,2023,6,16.83416667
ALD,2023,7,17.22258065
ALD,2023,8,16.92096774
ALD,2023,9,17.40725806
ALD,2023,10,12.85540541
ALD,2023,11,7.396666667
ALD,2023,12,7.266666667
